,gene,validation,Biological_process,Cellular_component,Molecular_function
0,YAL008W,Verified,ion,membrane,molecular_function
1,YAL008W,Verified,ion,membrane,null
2,YAL008W,Verified,ion,mitochond,molecular_function
3,YAL008W,Verified,ion,mitochond,null
4,YAL008W,Verified,ion,null,molecular_function
5,YAL008W,Verified,ion,null,null
6,YAL008W,Verified,null,membrane,molecular_function
7,YAL008W,Verified,null,membrane,null
8,YAL008W,Verified,null,mitochond,molecular_function
9,YAL008W,Verified,null,mitochond,null
10,YAL008W,Verified,null,null,molecular_function
11,YAL008W,Verified,null,null,null
12,YBR255W,Verified,biological_process,null,molecular_function
13,YBR255W,Verified,biological_process,null,null
14,YBR255W,Verified,null,null,molecular_function
15,YBR255W,Verified,null,null,null
16,YGR164W,Dubious,biological_process,cellular_component,molecular_function
17,YGR164W,Dubious,biological_process,cellular_component,null
18,YGR164W,Dubious,biological_process,null,molecular_function
19,YGR164W,Dubious,biological_process,null,null
20,YGR164W,Dubious,null,cellular_component,molecular_function
21,YGR164W,Dubious,null,cellular_component,null
22,YGR164W,Dubious,null,null,molecular_function
23,YGR164W,Dubious,null,null,null
24,YGR131W,Verified,protein,membrane,molecular_function
25,YGR131W,Verified,protein,membrane,null
26,YGR131W,Verified,protein,null,molecular_function
27,YGR131W,Verified,protein,null,null
28,YGR131W,Verified,ion,membrane,molecular_function
29,YGR131W,Verified,ion,membrane,null
30,YGR131W,Verified,ion,null,molecular_function
31,YGR131W,Verified,ion,null,null
32,YGR131W,Verified,null,membrane,molecular_function
33,YGR131W,Verified,null,membrane,null
34,YGR131W,Verified,null,null,molecular_function
35,YGR131W,Verified,null,null,null
36,YNL003C,Verified,transport,mitochond,transmembrane
37,YNL003C,Verified,transport,mitochond,transporter
38,YNL003C,Verified,transport,mitochond,null
39,YNL003C,Verified,transport,membrane,transmembrane
40,YNL003C,Verified,transport,membrane,transporter
41,YNL003C,Verified,transport,membrane,null
42,YNL003C,Verified,transport,null,transmembrane
43,YNL003C,Verified,transport,null,transporter
44,YNL003C,Verified,transport,null,null
45,YNL003C,Verified,ion,mitochond,transmembrane
46,YNL003C,Verified,ion,mitochond,transporter
47,YNL003C,Verified,ion,mitochond,null
48,YNL003C,Verified,ion,membrane,transmembrane
49,YNL003C,Verified,ion,membrane,transporter
50,YNL003C,Verified,ion,membrane,null
51,YNL003C,Verified,ion,null,transmembrane
52,YNL003C,Verified,ion,null,transporter
53,YNL003C,Verified,ion,null,null
54,YNL003C,Verified,null,mitochond,transmembrane
55,YNL003C,Verified,null,mitochond,transporter
56,YNL003C,Verified,null,mitochond,null
57,YNL003C,Verified,null,membrane,transmembrane
58,YNL003C,Verified,null,membrane,transporter
59,YNL003C,Verified,null,membrane,null
60,YNL003C,Verified,null,null,transmembrane
61,YNL003C,Verified,null,null,transporter
62,YNL003C,Verified,null,null,null
63,YBR135W,Verified,regulation,null,kinase
64,YBR135W,Verified,regulation,null,histone
65,YBR135W,Verified,regulation,null,null
66,YBR135W,Verified,ion,null,kinase
67,YBR135W,Verified,ion,null,histone
68,YBR135W,Verified,ion,null,null
69,YBR135W,Verified,positive,null,kinase
70,YBR135W,Verified,positive,null,histone
71,YBR135W,Verified,positive,null,null
72,YBR135W,Verified,null,null,kinase
73,YBR135W,Verified,null,null,histone
74,YBR135W,Verified,null,null,null
75,YBR160W,Verified,negative,nucle,RNA polymerase
76,YBR160W,Verified,negative,nucle,kinase
77,YBR160W,Verified,negative,nucle,histone
78,YBR160W,Verified,negative,nucle,null
79,YBR160W,Verified,negative,cytoplasm,RNA polymerase
80,YBR160W,Verified,negative,cytoplasm,kinase
81,YBR160W,Verified,negative,cytoplasm,histone
82,YBR160W,Verified,negative,cytoplasm,null
83,YBR160W,Verified,negative,endoplasm,RNA polymerase
84,YBR160W,Verified,negative,endoplasm,kinase
85,YBR160W,Verified,negative,endoplasm,histone
86,YBR160W,Verified,negative,endoplasm,null
87,YBR160W,Verified,negative,null,RNA polymerase
88,YBR160W,Verified,negative,null,kinase
89,YBR160W,Verified,negative,null,histone
90,YBR160W,Verified,negative,null,null
91,YBR160W,Verified,regulation,nucle,RNA polymerase
92,YBR160W,Verified,regulation,nucle,kinase
93,YBR160W,Verified,regulation,nucle,histone
94,YBR160W,Verified,regulation,nucle,null
95,YBR160W,Verified,regulation,cytoplasm,RNA polymerase
96,YBR160W,Verified,regulation,cytoplasm,kinase
97,YBR160W,Verified,regulation,cytoplasm,histone
98,YBR160W,Verified,regulation,cytoplasm,null
99,YBR160W,Verified,regulation,endoplasm,RNA polymerase
100,YBR160W,Verified,regulation,endoplasm,kinase
101,YBR160W,Verified,regulation,endoplasm,histone
102,YBR160W,Verified,regulation,endoplasm,null
103,YBR160W,Verified,regulation,null,RNA polymerase
104,YBR160W,Verified,regulation,null,kinase
105,YBR160W,Verified,regulation,null,histone
106,YBR160W,Verified,regulation,null,null
107,YBR160W,Verified,ion,nucle,RNA polymerase
108,YBR160W,Verified,ion,nucle,kinase
109,YBR160W,Verified,ion,nucle,histone
110,YBR160W,Verified,ion,nucle,null
111,YBR160W,Verified,ion,cytoplasm,RNA polymerase
112,YBR160W,Verified,ion,cytoplasm,kinase
113,YBR160W,Verified,ion,cytoplasm,histone
114,YBR160W,Verified,ion,cytoplasm,null
115,YBR160W,Verified,ion,endoplasm,RNA polymerase
116,YBR160W,Verified,ion,endoplasm,kinase
117,YBR160W,Verified,ion,endoplasm,histone
118,YBR160W,Verified,ion,endoplasm,null
119,YBR160W,Verified,ion,null,RNA polymerase
120,YBR160W,Verified,ion,null,kinase
121,YBR160W,Verified,ion,null,histone
122,YBR160W,Verified,ion,null,null
123,YBR160W,Verified,repair,nucle,RNA polymerase
124,YBR160W,Verified,repair,nucle,kinase
125,YBR160W,Verified,repair,nucle,histone
126,YBR160W,Verified,repair,nucle,null
127,YBR160W,Verified,repair,cytoplasm,RNA polymerase
128,YBR160W,Verified,repair,cytoplasm,kinase
129,YBR160W,Verified,repair,cytoplasm,histone
130,YBR160W,Verified,repair,cytoplasm,null
131,YBR160W,Verified,repair,endoplasm,RNA polymerase
132,YBR160W,Verified,repair,endoplasm,kinase
133,YBR160W,Verified,repair,endoplasm,histone
134,YBR160W,Verified,repair,endoplasm,null
135,YBR160W,Verified,repair,null,RNA polymerase
136,YBR160W,Verified,repair,null,kinase
137,YBR160W,Verified,repair,null,histone
138,YBR160W,Verified,repair,null,null
139,YBR160W,Verified,positive,nucle,RNA polymerase
140,YBR160W,Verified,positive,nucle,kinase
141,YBR160W,Verified,positive,nucle,histone
142,YBR160W,Verified,positive,nucle,null
143,YBR160W,Verified,positive,cytoplasm,RNA polymerase
144,YBR160W,Verified,positive,cytoplasm,kinase
145,YBR160W,Verified,positive,cytoplasm,histone
146,YBR160W,Verified,positive,cytoplasm,null
147,YBR160W,Verified,positive,endoplasm,RNA polymerase
148,YBR160W,Verified,positive,endoplasm,kinase
149,YBR160W,Verified,positive,endoplasm,histone
150,YBR160W,Verified,positive,endoplasm,null
151,YBR160W,Verified,positive,null,RNA polymerase
152,YBR160W,Verified,positive,null,kinase
153,YBR160W,Verified,positive,null,histone
154,YBR160W,Verified,positive,null,null
155,YBR160W,Verified,catabolic process,nucle,RNA polymerase
156,YBR160W,Verified,catabolic process,nucle,kinase
157,YBR160W,Verified,catabolic process,nucle,histone
158,YBR160W,Verified,catabolic process,nucle,null
159,YBR160W,Verified,catabolic process,cytoplasm,RNA polymerase
160,YBR160W,Verified,catabolic process,cytoplasm,kinase
161,YBR160W,Verified,catabolic process,cytoplasm,histone
162,YBR160W,Verified,catabolic process,cytoplasm,null
163,YBR160W,Verified,catabolic process,endoplasm,RNA polymerase
164,YBR160W,Verified,catabolic process,endoplasm,kinase
165,YBR160W,Verified,catabolic process,endoplasm,histone
166,YBR160W,Verified,catabolic process,endoplasm,null
167,YBR160W,Verified,catabolic process,null,RNA polymerase
168,YBR160W,Verified,catabolic process,null,kinase
169,YBR160W,Verified,catabolic process,null,histone
170,YBR160W,Verified,catabolic process,null,null
171,YBR160W,Verified,transport,nucle,RNA polymerase
172,YBR160W,Verified,transport,nucle,kinase
173,YBR160W,Verified,transport,nucle,histone
174,YBR160W,Verified,transport,nucle,null
175,YBR160W,Verified,transport,cytoplasm,RNA polymerase
176,YBR160W,Verified,transport,cytoplasm,kinase
177,YBR160W,Verified,transport,cytoplasm,histone
178,YBR160W,Verified,transport,cytoplasm,null
179,YBR160W,Verified,transport,endoplasm,RNA polymerase
180,YBR160W,Verified,transport,endoplasm,kinase
181,YBR160W,Verified,transport,endoplasm,histone
182,YBR160W,Verified,transport,endoplasm,null
183,YBR160W,Verified,transport,null,RNA polymerase
184,YBR160W,Verified,transport,null,kinase
185,YBR160W,Verified,transport,null,histone
186,YBR160W,Verified,transport,null,null
187,YBR160W,Verified,protein,nucle,RNA polymerase
188,YBR160W,Verified,protein,nucle,kinase
189,YBR160W,Verified,protein,nucle,histone
190,YBR160W,Verified,protein,nucle,null
191,YBR160W,Verified,protein,cytoplasm,RNA polymerase
192,YBR160W,Verified,protein,cytoplasm,kinase
193,YBR160W,Verified,protein,cytoplasm,histone
194,YBR160W,Verified,protein,cytoplasm,null
195,YBR160W,Verified,protein,endoplasm,RNA polymerase
196,YBR160W,Verified,protein,endoplasm,kinase
197,YBR160W,Verified,protein,endoplasm,histone
198,YBR160W,Verified,protein,endoplasm,null
199,YBR160W,Verified,protein,null,RNA polymerase
200,YBR160W,Verified,protein,null,kinase
201,YBR160W,Verified,protein,null,histone
202,YBR160W,Verified,protein,null,null
203,YJL082W,Verified,protein,null,molecular_function
204,YJL082W,Verified,protein,null,null
205,YJL082W,Verified,null,null,molecular_function
206,YJL082W,Verified,null,null,null
207,YJL142C,Dubious,ion,null,molecular_function
208,YJL142C,Dubious,ion,null,null
209,YJL142C,Dubious,null,null,molecular_function
210,YJL142C,Dubious,null,null,null
211,YPL191C,Verified,biological_process,null,molecular_function
212,YPL191C,Verified,biological_process,null,null
213,YPL191C,Verified,null,null,molecular_function
214,YPL191C,Verified,null,null,null
215,YGL215W,Verified,positive,null,kinase
216,YGL215W,Verified,positive,null,null
217,YGL215W,Verified,regulation,null,kinase
218,YGL215W,Verified,regulation,null,null
219,YGL215W,Verified,ion,null,kinase
220,YGL215W,Verified,ion,null,null
221,YGL215W,Verified,null,null,kinase
222,YGL215W,Verified,null,null,null
223,YKL074C,Verified,ion,null,null
224,YKL074C,Verified,null,null,null
225,YJL077C,Verified,copper,cellular_component,molecular_function
226,YJL077C,Verified,copper,cellular_component,null
227,YJL077C,Verified,copper,null,molecular_function
228,YJL077C,Verified,copper,null,null
229,YJL077C,Verified,ion,cellular_component,molecular_function
230,YJL077C,Verified,ion,cellular_component,null
231,YJL077C,Verified,ion,null,molecular_function
232,YJL077C,Verified,ion,null,null
233,YJL077C,Verified,null,cellular_component,molecular_function
234,YJL077C,Verified,null,cellular_component,null
235,YJL077C,Verified,null,null,molecular_function
236,YJL077C,Verified,null,null,null
237,YIL124W,Verified,catabolic process,endoplasm,null
238,YIL124W,Verified,catabolic process,null,null
239,YIL124W,Verified,null,endoplasm,null
240,YIL124W,Verified,null,null,null
241,YPL039W,Uncharacterized,biological_process,cellular_component,molecular_function
242,YPL039W,Uncharacterized,biological_process,cellular_component,null
243,YPL039W,Uncharacterized,biological_process,null,molecular_function
244,YPL039W,Uncharacterized,biological_process,null,null
245,YPL039W,Uncharacterized,null,cellular_component,molecular_function
246,YPL039W,Uncharacterized,null,cellular_component,null
247,YPL039W,Uncharacterized,null,null,molecular_function
248,YPL039W,Uncharacterized,null,null,null
249,YNL170W,Dubious,biological_process,cellular_component,molecular_function
250,YNL170W,Dubious,biological_process,cellular_component,null
251,YNL170W,Dubious,biological_process,null,molecular_function
252,YNL170W,Dubious,biological_process,null,null
253,YNL170W,Dubious,null,cellular_component,molecular_function
254,YNL170W,Dubious,null,cellular_component,null
255,YNL170W,Dubious,null,null,molecular_function
256,YNL170W,Dubious,null,null,null
257,YGL141W,Verified,protein,null,null
258,YGL141W,Verified,ion,null,null
259,YGL141W,Verified,catabolic process,null,null
260,YGL141W,Verified,null,null,null
261,YJL179W,Verified,protein,null,null
262,YJL179W,Verified,ion,null,null
263,YJL179W,Verified,positive,null,null
264,YJL179W,Verified,regulation,null,null
265,YJL179W,Verified,null,null,null
266,YKL083W,Dubious,biological_process,null,molecular_function
267,YKL083W,Dubious,biological_process,null,null
268,YKL083W,Dubious,null,null,molecular_function
269,YKL083W,Dubious,null,null,null
270,YOR009W,Verified,biological_process,null,molecular_function
271,YOR009W,Verified,biological_process,null,null
272,YOR009W,Verified,null,null,molecular_function
273,YOR009W,Verified,null,null,null
274,YKL029C,Verified,metabolic process,mitochond,null
275,YKL029C,Verified,metabolic process,null,null
276,YKL029C,Verified,null,mitochond,null
277,YKL029C,Verified,null,null,null
278,YPL166W,Verified,null,null,molecular_function
279,YPL166W,Verified,null,null,null
280,YKL052C,Verified,positive,null,null
281,YKL052C,Verified,regulation,null,null
282,YKL052C,Verified,ion,null,null
283,YKL052C,Verified,null,null,null
284,YHR025W,Verified,metabolic process,cellular_component,kinase
285,YHR025W,Verified,metabolic process,cellular_component,null
286,YHR025W,Verified,metabolic process,null,kinase
287,YHR025W,Verified,metabolic process,null,null
288,YHR025W,Verified,ion,cellular_component,kinase
289,YHR025W,Verified,ion,cellular_component,null
290,YHR025W,Verified,ion,null,kinase
291,YHR025W,Verified,ion,null,null
292,YHR025W,Verified,null,cellular_component,kinase
293,YHR025W,Verified,null,cellular_component,null
294,YHR025W,Verified,null,null,kinase
295,YHR025W,Verified,null,null,null
296,YOL034W,Verified,repair,nucle,damage
297,YOL034W,Verified,repair,nucle,ATP
298,YOL034W,Verified,repair,nucle,null
299,YOL034W,Verified,repair,null,damage
300,YOL034W,Verified,repair,null,ATP
301,YOL034W,Verified,repair,null,null
302,YOL034W,Verified,ion,nucle,damage
303,YOL034W,Verified,ion,nucle,ATP
304,YOL034W,Verified,ion,nucle,null
305,YOL034W,Verified,ion,null,damage
306,YOL034W,Verified,ion,null,ATP
307,YOL034W,Verified,ion,null,null
308,YOL034W,Verified,null,nucle,damage
309,YOL034W,Verified,null,nucle,ATP
310,YOL034W,Verified,null,nucle,null
311,YOL034W,Verified,null,null,damage
312,YOL034W,Verified,null,null,ATP
313,YOL034W,Verified,null,null,null
314,YBL008W,Verified,negative,nucle,transcription
315,YBL008W,Verified,negative,nucle,null
316,YBL008W,Verified,negative,null,transcription
317,YBL008W,Verified,negative,null,null
318,YBL008W,Verified,regulation,nucle,transcription
319,YBL008W,Verified,regulation,nucle,null
320,YBL008W,Verified,regulation,null,transcription
321,YBL008W,Verified,regulation,null,null
322,YBL008W,Verified,ion,nucle,transcription
323,YBL008W,Verified,ion,nucle,null
324,YBL008W,Verified,ion,null,transcription
325,YBL008W,Verified,ion,null,null
326,YBL008W,Verified,null,nucle,transcription
327,YBL008W,Verified,null,nucle,null
328,YBL008W,Verified,null,null,transcription
329,YBL008W,Verified,null,null,null
330,YIL062C,Verified,ion,membrane,null
331,YIL062C,Verified,ion,mitochond,null
332,YIL062C,Verified,ion,null,null
333,YIL062C,Verified,null,membrane,null
334,YIL062C,Verified,null,mitochond,null
335,YIL062C,Verified,null,null,null
336,YCL023C,Dubious,biological_process,cellular_component,molecular_function
337,YCL023C,Dubious,biological_process,cellular_component,null
338,YCL023C,Dubious,biological_process,null,molecular_function
339,YCL023C,Dubious,biological_process,null,null
340,YCL023C,Dubious,null,cellular_component,molecular_function
341,YCL023C,Dubious,null,cellular_component,null
342,YCL023C,Dubious,null,null,molecular_function
343,YCL023C,Dubious,null,null,null
344,YOL116W,Verified,positive,nucle,null
345,YOL116W,Verified,positive,null,null
346,YOL116W,Verified,regulation,nucle,null
347,YOL116W,Verified,regulation,null,null
348,YOL116W,Verified,catabolic process,nucle,null
349,YOL116W,Verified,catabolic process,null,null
350,YOL116W,Verified,ion,nucle,null
351,YOL116W,Verified,ion,null,null
352,YOL116W,Verified,null,nucle,null
353,YOL116W,Verified,null,null,null
354,YDR196C,Verified,null,null,kinase
355,YDR196C,Verified,null,null,null
356,YNL255C,Verified,positive,cytoplasm,null
357,YNL255C,Verified,positive,null,null
358,YNL255C,Verified,regulation,cytoplasm,null
359,YNL255C,Verified,regulation,null,null
360,YNL255C,Verified,ion,cytoplasm,null
361,YNL255C,Verified,ion,null,null
362,YNL255C,Verified,null,cytoplasm,null
363,YNL255C,Verified,null,null,null
364,YNR032W,Verified,metabolic process,null,null
365,YNR032W,Verified,protein,null,null
366,YNR032W,Verified,ion,null,null
367,YNR032W,Verified,null,null,null
368,YNR045W,Verified,positive,membrane,null
369,YNR045W,Verified,positive,mitochond,null
370,YNR045W,Verified,positive,null,null
371,YNR045W,Verified,regulation,membrane,null
372,YNR045W,Verified,regulation,mitochond,null
373,YNR045W,Verified,regulation,null,null
374,YNR045W,Verified,ion,membrane,null
375,YNR045W,Verified,ion,mitochond,null
376,YNR045W,Verified,ion,null,null
377,YNR045W,Verified,null,membrane,null
378,YNR045W,Verified,null,mitochond,null
379,YNR045W,Verified,null,null,null
380,YML105C,Verified,protein,endoplasm,null
381,YML105C,Verified,protein,null,null
382,YML105C,Verified,ion,endoplasm,null
383,YML105C,Verified,ion,null,null
384,YML105C,Verified,targeting,endoplasm,null
385,YML105C,Verified,targeting,null,null
386,YML105C,Verified,null,endoplasm,null
387,YML105C,Verified,null,null,null
388,YNL288W,Verified,regulation,null,molecular_function
389,YNL288W,Verified,regulation,null,null
390,YNL288W,Verified,ion,null,molecular_function
391,YNL288W,Verified,ion,null,null
392,YNL288W,Verified,positive,null,molecular_function
393,YNL288W,Verified,positive,null,null
394,YNL288W,Verified,null,null,molecular_function
395,YNL288W,Verified,null,null,null
396,YIL059C,Dubious,biological_process,cellular_component,molecular_function
397,YIL059C,Dubious,biological_process,cellular_component,null
398,YIL059C,Dubious,biological_process,null,molecular_function
399,YIL059C,Dubious,biological_process,null,null
400,YIL059C,Dubious,null,cellular_component,molecular_function
401,YIL059C,Dubious,null,cellular_component,null
402,YIL059C,Dubious,null,null,molecular_function
403,YIL059C,Dubious,null,null,null
404,YIL004C,Verified,transport,membrane,receptor
405,YIL004C,Verified,transport,membrane,null
406,YIL004C,Verified,transport,endoplasm,receptor
407,YIL004C,Verified,transport,endoplasm,null
408,YIL004C,Verified,transport,null,receptor
409,YIL004C,Verified,transport,null,null
410,YIL004C,Verified,ion,membrane,receptor
411,YIL004C,Verified,ion,membrane,null
412,YIL004C,Verified,ion,endoplasm,receptor
413,YIL004C,Verified,ion,endoplasm,null
414,YIL004C,Verified,ion,null,receptor
415,YIL004C,Verified,ion,null,null
416,YIL004C,Verified,null,membrane,receptor
417,YIL004C,Verified,null,membrane,null
418,YIL004C,Verified,null,endoplasm,receptor
419,YIL004C,Verified,null,endoplasm,null
420,YIL004C,Verified,null,null,receptor
421,YIL004C,Verified,null,null,null
422,YNR018W,Verified,null,membrane,molecular_function
423,YNR018W,Verified,null,membrane,null
424,YNR018W,Verified,null,mitochond,molecular_function
425,YNR018W,Verified,null,mitochond,null
426,YNR018W,Verified,null,null,molecular_function
427,YNR018W,Verified,null,null,null
428,YPL144W,Verified,protein,null,molecular_function
429,YPL144W,Verified,protein,null,null
430,YPL144W,Verified,null,null,molecular_function
431,YPL144W,Verified,null,null,null
432,YFR047C,Verified,null,null,null
433,YHR078W,Uncharacterized,biological_process,null,molecular_function
434,YHR078W,Uncharacterized,biological_process,null,null
435,YHR078W,Uncharacterized,null,null,molecular_function
436,YHR078W,Uncharacterized,null,null,null
437,YJR115W,Uncharacterized,biological_process,cellular_component,molecular_function
438,YJR115W,Uncharacterized,biological_process,cellular_component,null
439,YJR115W,Uncharacterized,biological_process,null,molecular_function
440,YJR115W,Uncharacterized,biological_process,null,null
441,YJR115W,Uncharacterized,null,cellular_component,molecular_function
442,YJR115W,Uncharacterized,null,cellular_component,null
443,YJR115W,Uncharacterized,null,null,molecular_function
444,YJR115W,Uncharacterized,null,null,null
445,YLR355C,Verified,null,mitochond,null
446,YLR355C,Verified,null,nucle,null
447,YLR355C,Verified,null,null,null
448,YGR099W,Verified,protein,nucle,null
449,YGR099W,Verified,protein,null,null
450,YGR099W,Verified,ion,nucle,null
451,YGR099W,Verified,ion,null,null
452,YGR099W,Verified,null,nucle,null
453,YGR099W,Verified,null,null,null
454,YLR300W,Verified,metabolic process,extracellular,null
455,YLR300W,Verified,metabolic process,null,null
456,YLR300W,Verified,ion,extracellular,null
457,YLR300W,Verified,ion,null,null
458,YLR300W,Verified,null,extracellular,null
459,YLR300W,Verified,null,null,null
460,YBL003C,Verified,repair,nucle,null
461,YBL003C,Verified,repair,null,null
462,YBL003C,Verified,null,nucle,null
463,YBL003C,Verified,null,null,null
464,YJR140C,Verified,ion,nucle,transcription
465,YJR140C,Verified,ion,nucle,null
466,YJR140C,Verified,ion,null,transcription
467,YJR140C,Verified,ion,null,null
468,YJR140C,Verified,positive,nucle,transcription
469,YJR140C,Verified,positive,nucle,null
470,YJR140C,Verified,positive,null,transcription
471,YJR140C,Verified,positive,null,null
472,YJR140C,Verified,regulation,nucle,transcription
473,YJR140C,Verified,regulation,nucle,null
474,YJR140C,Verified,regulation,null,transcription
475,YJR140C,Verified,regulation,null,null
476,YJR140C,Verified,histone,nucle,transcription
477,YJR140C,Verified,histone,nucle,null
478,YJR140C,Verified,histone,null,transcription
479,YJR140C,Verified,histone,null,null
480,YJR140C,Verified,negative,nucle,transcription
481,YJR140C,Verified,negative,nucle,null
482,YJR140C,Verified,negative,null,transcription
483,YJR140C,Verified,negative,null,null
484,YJR140C,Verified,null,nucle,transcription
485,YJR140C,Verified,null,nucle,null
486,YJR140C,Verified,null,null,transcription
487,YJR140C,Verified,null,null,null
488,YOR033C,Verified,repair,nucle,exonuclease activity
489,YOR033C,Verified,repair,nucle,null
490,YOR033C,Verified,repair,null,exonuclease activity
491,YOR033C,Verified,repair,null,null
492,YOR033C,Verified,ion,nucle,exonuclease activity
493,YOR033C,Verified,ion,nucle,null
494,YOR033C,Verified,ion,null,exonuclease activity
495,YOR033C,Verified,ion,null,null
496,YOR033C,Verified,null,nucle,exonuclease activity
497,YOR033C,Verified,null,nucle,null
498,YOR033C,Verified,null,null,exonuclease activity
499,YOR033C,Verified,null,null,null
500,YOR062C,Uncharacterized,biological_process,null,molecular_function
501,YOR062C,Uncharacterized,biological_process,null,null
502,YOR062C,Uncharacterized,null,null,molecular_function
503,YOR062C,Uncharacterized,null,null,null
504,YBR043C,Verified,transport,membrane,transmembrane
505,YBR043C,Verified,transport,membrane,transporter
506,YBR043C,Verified,transport,membrane,null
507,YBR043C,Verified,transport,null,transmembrane
508,YBR043C,Verified,transport,null,transporter
509,YBR043C,Verified,transport,null,null
510,YBR043C,Verified,null,membrane,transmembrane
511,YBR043C,Verified,null,membrane,transporter
512,YBR043C,Verified,null,membrane,null
513,YBR043C,Verified,null,null,transmembrane
514,YBR043C,Verified,null,null,transporter
515,YBR043C,Verified,null,null,null
516,YHR112C,Verified,metabolic process,nucle,null
517,YHR112C,Verified,metabolic process,cytoplasm,null
518,YHR112C,Verified,metabolic process,null,null
519,YHR112C,Verified,null,nucle,null
520,YHR112C,Verified,null,cytoplasm,null
521,YHR112C,Verified,null,null,null
522,YLR011W,Verified,ion,nucle,dehydrogenase
523,YLR011W,Verified,ion,nucle,transcription
524,YLR011W,Verified,ion,nucle,null
525,YLR011W,Verified,ion,cytosol,dehydrogenase
526,YLR011W,Verified,ion,cytosol,transcription
527,YLR011W,Verified,ion,cytosol,null
528,YLR011W,Verified,ion,null,dehydrogenase
529,YLR011W,Verified,ion,null,transcription
530,YLR011W,Verified,ion,null,null
531,YLR011W,Verified,null,nucle,dehydrogenase
532,YLR011W,Verified,null,nucle,transcription
533,YLR011W,Verified,null,nucle,null
534,YLR011W,Verified,null,cytosol,dehydrogenase
535,YLR011W,Verified,null,cytosol,transcription
536,YLR011W,Verified,null,cytosol,null
537,YLR011W,Verified,null,null,dehydrogenase
538,YLR011W,Verified,null,null,transcription
539,YLR011W,Verified,null,null,null
540,YHR007C,Uncharacterized,null,endoplasm,null
541,YHR007C,Uncharacterized,null,null,null
542,YKR103W,Verified,null,null,null
543,YKR084C,Verified,positive,null,null
544,YKR084C,Verified,regulation,null,null
545,YKR084C,Verified,ion,null,null
546,YKR084C,Verified,catabolic process,null,null
547,YKR084C,Verified,null,null,null
548,YER121W,Uncharacterized,biological_process,cellular_component,molecular_function
549,YER121W,Uncharacterized,biological_process,cellular_component,null
550,YER121W,Uncharacterized,biological_process,null,molecular_function
551,YER121W,Uncharacterized,biological_process,null,null
552,YER121W,Uncharacterized,null,cellular_component,molecular_function
553,YER121W,Uncharacterized,null,cellular_component,null
554,YER121W,Uncharacterized,null,null,molecular_function
555,YER121W,Uncharacterized,null,null,null
556,YCR046C,Verified,ion,mitochond,null
557,YCR046C,Verified,ion,ribosomal,null
558,YCR046C,Verified,ion,null,null
559,YCR046C,Verified,null,mitochond,null
560,YCR046C,Verified,null,ribosomal,null
561,YCR046C,Verified,null,null,null
562,YNL144C,Uncharacterized,biological_process,null,molecular_function
563,YNL144C,Uncharacterized,biological_process,null,null
564,YNL144C,Uncharacterized,null,null,molecular_function
565,YNL144C,Uncharacterized,null,null,null
566,YKL204W,Verified,ion,cytoplasm,null
567,YKL204W,Verified,ion,null,null
568,YKL204W,Verified,catabolic process,cytoplasm,null
569,YKL204W,Verified,catabolic process,null,null
570,YKL204W,Verified,negative,cytoplasm,null
571,YKL204W,Verified,negative,null,null
572,YKL204W,Verified,regulation,cytoplasm,null
573,YKL204W,Verified,regulation,null,null
574,YKL204W,Verified,null,cytoplasm,null
575,YKL204W,Verified,null,null,null
576,YOR266W,Verified,protein,membrane,molecular_function
577,YOR266W,Verified,protein,membrane,null
578,YOR266W,Verified,protein,mitochond,molecular_function
579,YOR266W,Verified,protein,mitochond,null
580,YOR266W,Verified,protein,null,molecular_function
581,YOR266W,Verified,protein,null,null
582,YOR266W,Verified,ion,membrane,molecular_function
583,YOR266W,Verified,ion,membrane,null
584,YOR266W,Verified,ion,mitochond,molecular_function
585,YOR266W,Verified,ion,mitochond,null
586,YOR266W,Verified,ion,null,molecular_function
587,YOR266W,Verified,ion,null,null
588,YOR266W,Verified,null,membrane,molecular_function
589,YOR266W,Verified,null,membrane,null
590,YOR266W,Verified,null,mitochond,molecular_function
591,YOR266W,Verified,null,mitochond,null
592,YOR266W,Verified,null,null,molecular_function
593,YOR266W,Verified,null,null,null
594,YDR393W,Verified,ion,membrane,molecular_function
595,YDR393W,Verified,ion,membrane,null
596,YDR393W,Verified,ion,mitochond,molecular_function
597,YDR393W,Verified,ion,mitochond,null
598,YDR393W,Verified,ion,null,molecular_function
599,YDR393W,Verified,ion,null,null
600,YDR393W,Verified,membrane organization,membrane,molecular_function
601,YDR393W,Verified,membrane organization,membrane,null
602,YDR393W,Verified,membrane organization,mitochond,molecular_function
603,YDR393W,Verified,membrane organization,mitochond,null
604,YDR393W,Verified,membrane organization,null,molecular_function
605,YDR393W,Verified,membrane organization,null,null
606,YDR393W,Verified,null,membrane,molecular_function
607,YDR393W,Verified,null,membrane,null
608,YDR393W,Verified,null,mitochond,molecular_function
609,YDR393W,Verified,null,mitochond,null
610,YDR393W,Verified,null,null,molecular_function
611,YDR393W,Verified,null,null,null
612,YGL171W,Verified,ion,nucle,ATP
613,YGL171W,Verified,ion,nucle,null
614,YGL171W,Verified,ion,nucleolus,ATP
615,YGL171W,Verified,ion,nucleolus,null
616,YGL171W,Verified,ion,null,ATP
617,YGL171W,Verified,ion,null,null
618,YGL171W,Verified,null,nucle,ATP
619,YGL171W,Verified,null,nucle,null
